
#sigma blocking										energy mean

#alpha  analytic					numerical				analytic			numerical
0.3 	0.13813985766699272			0.11799718066232884		0.5718883825954177	0.5399682310259709 
0.35  	0.07183276756778922			0.07167869961800877		0.5411143046290954	0.5443465764333807
0.4		0.027639555652195502		0.025419665232510213	0.5133795911766861	0.5135019210620809
0.45	0.004762792961777895		0.0077450900406900725	0.4994564626756854	0.5098349961090503
0.5		0.0							-8.049116928532385e-16	0.5					0.49999997495908755
0.55	0.0036280958952621956		0.004159930983658688	0.5078119333712537	0.5043574920855045
0.6		0.013992206542337682		0.018788659120869966	0.5137561261387564	0.501131385705757
0.65	0.03613572270099119			0.02953130154314587		0.5195349790601088	0.519699377253051
0.7		0.05086202391053246			0.054992129352986585	0.5390254903020796	0.5239566341630189
